=== 10.03.2024 - 10.03.2025 YILLIK RAPOR ===

=== GÜNLÜK ÖZET ===
31.12.2024 => Madde: 35, PDF: 22, HTM: 13
31.10.2024 => Madde: 2, PDF: 0, HTM: 2
31.08.2024 => Madde: 18, PDF: 17, HTM: 1
31.07.2024 => Madde: 8, PDF: 5, HTM: 3
31.05.2024 => Madde: 23, PDF: 17, HTM: 6
31.03.2024 => Madde: 3, PDF: 0, HTM: 3
31.01.2025 => Madde: 5, PDF: 0, HTM: 5
30.12.2024 => Madde: 3, PDF: 0, HTM: 3
30.11.2024 => Madde: 9, PDF: 6, HTM: 3
30.10.2024 => Madde: 9, PDF: 5, HTM: 4
30.09.2024 => Madde: 9, PDF: 0, HTM: 9
30.08.2024 => Madde: 0, PDF: 0, HTM: 0
30.07.2024 => Madde: 2, PDF: 0, HTM: 2
30.06.2024 => Madde: 16, PDF: 7, HTM: 9
30.05.2024 => Madde: 4, PDF: 2, HTM: 2
30.04.2024 => Madde: 14, PDF: 10, HTM: 4
30.03.2024 => Madde: 2, PDF: 1, HTM: 1
30.01.2025 => Madde: 10, PDF: 4, HTM: 6
29.12.2024 => Madde: 3, PDF: 1, HTM: 2
29.11.2024 => Madde: 16, PDF: 9, HTM: 7
29.10.2024 => Madde: 0, PDF: 0, HTM: 0
29.09.2024 => Madde: 7, PDF: 0, HTM: 7
29.08.2024 => Madde: 11, PDF: 5, HTM: 6
29.07.2024 => Madde: 10, PDF: 1, HTM: 9
29.06.2024 => Madde: 6, PDF: 2, HTM: 4
29.05.2024 => Madde: 14, PDF: 12, HTM: 2
29.04.2024 => Madde: 1, PDF: 0, HTM: 1
29.03.2024 => Madde: 4, PDF: 1, HTM: 3
29.01.2025 => Madde: 2, PDF: 0, HTM: 2
28.12.2024 => Madde: 32, PDF: 23, HTM: 9
28.11.2024 => Madde: 12, PDF: 10, HTM: 2
28.10.2024 => Madde: 7, PDF: 4, HTM: 3
28.09.2024 => Madde: 7, PDF: 2, HTM: 5
28.08.2024 => Madde: 3, PDF: 0, HTM: 3
28.07.2024 => Madde: 9, PDF: 2, HTM: 7
28.06.2024 => Madde: 27, PDF: 16, HTM: 11
28.05.2024 => Madde: 5, PDF: 3, HTM: 2
28.04.2024 => Madde: 2, PDF: 1, HTM: 1
28.03.2024 => Madde: 6, PDF: 2, HTM: 4
28.02.2025 => Madde: 6, PDF: 2, HTM: 4
28.01.2025 => Madde: 4, PDF: 1, HTM: 3
27.12.2024 => Madde: 18, PDF: 5, HTM: 13
27.11.2024 => Madde: 37, PDF: 32, HTM: 5
27.10.2024 => Madde: 5, PDF: 1, HTM: 4
27.09.2024 => Madde: 8, PDF: 1, HTM: 7
27.08.2024 => Madde: 3, PDF: 0, HTM: 3
27.07.2024 => Madde: 2, PDF: 1, HTM: 1
27.06.2024 => Madde: 5, PDF: 3, HTM: 2
27.05.2024 => Madde: 7, PDF: 0, HTM: 7
27.04.2024 => Madde: 17, PDF: 11, HTM: 6
27.03.2024 => Madde: 13, PDF: 10, HTM: 3
27.02.2025 => Madde: 12, PDF: 5, HTM: 7
27.01.2025 => Madde: 4, PDF: 2, HTM: 2
26.12.2024 => Madde: 24, PDF: 1, HTM: 23
26.11.2024 => Madde: 3, PDF: 1, HTM: 2
26.10.2024 => Madde: 5, PDF: 3, HTM: 2
26.09.2024 => Madde: 7, PDF: 0, HTM: 7
26.08.2024 => Madde: 8, PDF: 0, HTM: 8
26.07.2024 => Madde: 26, PDF: 13, HTM: 13
26.06.2024 => Madde: 3, PDF: 2, HTM: 1
26.05.2024 => Madde: 8, PDF: 0, HTM: 8
26.04.2024 => Madde: 3, PDF: 1, HTM: 2
26.03.2024 => Madde: 9, PDF: 7, HTM: 2
26.02.2025 => Madde: 6, PDF: 3, HTM: 3
26.01.2025 => Madde: 3, PDF: 0, HTM: 3
25.12.2024 => Madde: 29, PDF: 16, HTM: 13
25.11.2024 => Madde: 5, PDF: 0, HTM: 5
25.10.2024 => Madde: 10, PDF: 7, HTM: 3
25.09.2024 => Madde: 11, PDF: 3, HTM: 8
25.08.2024 => Madde: 8, PDF: 4, HTM: 4
25.07.2024 => Madde: 13, PDF: 7, HTM: 6
25.06.2024 => Madde: 2, PDF: 1, HTM: 1
25.05.2024 => Madde: 32, PDF: 22, HTM: 10
25.04.2024 => Madde: 8, PDF: 5, HTM: 3
25.03.2024 => Madde: 5, PDF: 0, HTM: 5
25.02.2025 => Madde: 5, PDF: 3, HTM: 2
25.01.2025 => Madde: 6, PDF: 2, HTM: 4
24.12.2024 => Madde: 7, PDF: 2, HTM: 5
24.11.2024 => Madde: 6, PDF: 0, HTM: 6
24.10.2024 => Madde: 13, PDF: 12, HTM: 1
